category,paper_id,title,link,summary
cs.CL,cs.CL_0,LLM-Augmented Knowledge Base Construction For Root Cause Analysis,https://arxiv.org/abs/2604.06171,"arXiv:2604.06171v1 Announce Type: new 
Abstract: Communications networks now form the backbone of our digital world, with fast and reliable connectivity. However, even with appropriate redundancy and "
cs.CL,cs.CL_1,The Stepwise Informativeness Assumption: Why are Entropy Dynamics and Reasoning Correlated in LLMs?,https://arxiv.org/abs/2604.06192,"arXiv:2604.06192v1 Announce Type: new 
Abstract: Recent work uses entropy-based signals at multiple representation levels to study reasoning in large language models, but the field remains largely emp"
cs.CL,cs.CL_2,Depression Detection at the Point of Care: Automated Analysis of Linguistic Signals from Routine Primary Care Encounters,https://arxiv.org/abs/2604.06193,"arXiv:2604.06193v1 Announce Type: new 
Abstract: Depression is underdiagnosed in primary care, yet timely identification remains critical. Recorded clinical encounters, increasingly common with digita"
cs.CL,cs.CL_3,Hallucination as output-boundary misclassification: a composite abstention architecture for language models,https://arxiv.org/abs/2604.06195,"arXiv:2604.06195v1 Announce Type: new 
Abstract: Large language models often produce unsupported claims. We frame this as a misclassification error at the output boundary, where internally generated c"
cs.CL,cs.CL_4,Consistency-Guided Decoding with Proof-Driven Disambiguation for Three-Way Logical Question Answering,https://arxiv.org/abs/2604.06196,"arXiv:2604.06196v1 Announce Type: new 
Abstract: Three-way logical question answering (QA) assigns $True/False/Unknown$ to a hypothesis $H$ given a premise set $S$. While modern large language models "
cs.CL,cs.CL_5,Temporally Phenotyping GLP-1RA Case Reports with Large Language Models: A Textual Time Series Corpus and Risk Modeling,https://arxiv.org/abs/2604.06197,"arXiv:2604.06197v1 Announce Type: new 
Abstract: Type 2 diabetes case reports describe complex clinical courses, but their timelines are often expressed in language that is difficult to reuse in longi"
cs.CL,cs.CL_6,Emergent decentralized regulation in a purely synthetic society,https://arxiv.org/abs/2604.06199,"arXiv:2604.06199v1 Announce Type: new 
Abstract: As autonomous AI agents increasingly inhabit online environments and extensively interact, a key question is whether synthetic collectives exhibit self"
cs.CL,cs.CL_7,Beyond Facts: Benchmarking Distributional Reading Comprehension in Large Language Models,https://arxiv.org/abs/2604.06201,"arXiv:2604.06201v1 Announce Type: new 
Abstract: While most reading comprehension benchmarks for LLMs focus on factual information that can be answered by localizing specific textual evidence, many re"
cs.CL,cs.CL_8,Cross-Lingual Transfer and Parameter-Efficient Adaptation in the Turkic Language Family: A Theoretical Framework for Low-Resource Language Models,https://arxiv.org/abs/2604.06202,"arXiv:2604.06202v1 Announce Type: new 
Abstract: Large language models (LLMs) have transformed natural language processing, yet their capabilities remain uneven across languages. Most multilingual mod"
cs.CL,cs.CL_9,SensorPersona: An LLM-Empowered System for Continual Persona Extraction from Longitudinal Mobile Sensor Streams,https://arxiv.org/abs/2604.06204,"arXiv:2604.06204v1 Announce Type: new 
Abstract: Personalization is essential for Large Language Model (LLM)-based agents to adapt to users' preferences and improve response quality and task performan"
