category,paper_id,title,link,summary
cs.AI,cs.AI_0,Pramana: Fine-Tuning Large Language Models for Epistemic Reasoning through Navya-Nyaya,https://arxiv.org/abs/2604.04937,"arXiv:2604.04937v1 Announce Type: new 
Abstract: Large language models produce fluent text but struggle with systematic reasoning, often hallucinating confident but unfounded claims. When Apple resear"
cs.AI,cs.AI_1,Operational Noncommutativity in Sequential Metacognitive Judgments,https://arxiv.org/abs/2604.04938,"arXiv:2604.04938v1 Announce Type: new 
Abstract: Metacognition, understood as the monitoring and regulation of one's own cognitive processes, is inherently sequential: an agent evaluates an internal s"
cs.AI,cs.AI_2,Proximity Measure of Information Object Features for Solving the Problem of Their Identification in Information Systems,https://arxiv.org/abs/2604.04939,"arXiv:2604.04939v1 Announce Type: new 
Abstract: The paper considers a new quantitative-qualitative proximity measure for the features of information objects, where data enters a common information re"
cs.AI,cs.AI_3,ReVEL: Multi-Turn Reflective LLM-Guided Heuristic Evolution via Structured Performance Feedback,https://arxiv.org/abs/2604.04940,"arXiv:2604.04940v1 Announce Type: new 
Abstract: Designing effective heuristics for NP-hard combinatorial optimization problems remains a challenging and expertise-intensive task. Existing application"
cs.AI,cs.AI_4,Algebraic Structure Discovery for Real World Combinatorial Optimisation Problems: A General Framework from Abstract Algebra to Quotient Space Learning,https://arxiv.org/abs/2604.04941,"arXiv:2604.04941v1 Announce Type: new 
Abstract: Many combinatorial optimisation problems hide algebraic structures that, once exposed, shrink the search space and improve the chance of finding the gl"
cs.AI,cs.AI_5,PaperOrchestra: A Multi-Agent Framework for Automated AI Research Paper Writing,https://arxiv.org/abs/2604.05018,"arXiv:2604.05018v1 Announce Type: new 
Abstract: Synthesizing unstructured research materials into manuscripts is an essential yet under-explored challenge in AI-driven scientific discovery. Existing "
cs.AI,cs.AI_6,Part-Level 3D Gaussian Vehicle Generation with Joint and Hinge Axis Estimation,https://arxiv.org/abs/2604.05070,"arXiv:2604.05070v1 Announce Type: new 
Abstract: Simulation is essential for autonomous driving, yet current frameworks often model vehicles as rigid assets and fail to capture part-level articulation"
cs.AI,cs.AI_7,MMORF: A Multi-agent Framework for Designing Multi-objective Retrosynthesis Planning Systems,https://arxiv.org/abs/2604.05075,"arXiv:2604.05075v1 Announce Type: new 
Abstract: Multi-objective retrosynthesis planning is a critical chemistry task requiring dynamic balancing of quality, safety, and cost objectives. Language mode"
cs.AI,cs.AI_8,MedGemma 1.5 Technical Report,https://arxiv.org/abs/2604.05081,"arXiv:2604.05081v1 Announce Type: new 
Abstract: We introduce MedGemma 1.5 4B, the latest model in the MedGemma collection. MedGemma 1.5 expands on MedGemma 1 by integrating additional capabilities: h"
cs.AI,cs.AI_9,Uncertainty-Guided Latent Diagnostic Trajectory Learning for Sequential Clinical Diagnosis,https://arxiv.org/abs/2604.05116,"arXiv:2604.05116v1 Announce Type: new 
Abstract: Clinical diagnosis requires sequential evidence acquisition under uncertainty. However, most Large Language Model (LLM) based diagnostic systems assume"
