category,paper_id,title,link,summary
cs.RO,cs.RO_0,Occlusion Handling by Pushing for Enhanced Fruit Detection,https://arxiv.org/abs/2604.06341,"arXiv:2604.06341v1 Announce Type: new 
Abstract: In agricultural robotics, effective observation and localization of fruits present challenges due to occlusions caused by other parts of the tree, such"
cs.RO,cs.RO_1,Designing Privacy-Preserving Visual Perception for Robot Navigation Based on User Privacy Preferences,https://arxiv.org/abs/2604.06382,"arXiv:2604.06382v1 Announce Type: new 
Abstract: Visual navigation is a fundamental capability of mobile service robots, yet the onboard cameras required for such navigation can capture privacy-sensit"
cs.RO,cs.RO_2,Uncertainty Estimation for Deep Reconstruction in Actuatic Disaster Scenarios with Autonomous Vehicles,https://arxiv.org/abs/2604.06387,"arXiv:2604.06387v1 Announce Type: new 
Abstract: Accurate reconstruction of environmental scalar fields from sparse onboard observations is essential for autonomous vehicles engaged in aquatic monitor"
cs.RO,cs.RO_3,BiDexGrasp: Coordinated Bimanual Dexterous Grasps across Object Geometries and Sizes,https://arxiv.org/abs/2604.06589,"arXiv:2604.06589v1 Announce Type: new 
Abstract: Bimanual dexterous grasping is a fundamental and promising area in robotics, yet its progress is constrained by the lack of comprehensive datasets and "
cs.RO,cs.RO_4,Train-Small Deploy-Large: Leveraging Diffusion-Based Multi-Robot Planning,https://arxiv.org/abs/2604.06598,"arXiv:2604.06598v1 Announce Type: new 
Abstract: Learning based multi-robot path planning methods struggle to scale or generalize to changes, particularly variations in the number of robots during dep"
cs.RO,cs.RO_5,"RichMap: A Reachability Map Balancing Precision, Efficiency, and Flexibility for Rich Robot Manipulation Tasks",https://arxiv.org/abs/2604.06778,"arXiv:2604.06778v1 Announce Type: new 
Abstract: This paper presents RichMap, a high-precision reachability map representation designed to balance efficiency and flexibility for versatile robot manipu"
cs.RO,cs.RO_6,"Telecom World Models: Unifying Digital Twins, Foundation Models, and Predictive Planning for 6G",https://arxiv.org/abs/2604.06882,"arXiv:2604.06882v1 Announce Type: new 
Abstract: The integration of machine learning tools into telecom networks, has led to two prevailing paradigms, namely, language-based systems, such as Large Lan"
cs.RO,cs.RO_7,Towards Multi-Object Nonprehensile Transportation via Shared Teleoperation: A Framework Based on Virtual Object Model Predictive Control,https://arxiv.org/abs/2604.06932,"arXiv:2604.06932v1 Announce Type: new 
Abstract: Multi-object nonprehensile transportation in teleoperation demands simultaneous trajectory tracking and tray orientation control. Existing methods ofte"
cs.RO,cs.RO_8,Sustainable Transfer Learning for Adaptive Robot Skills,https://arxiv.org/abs/2604.06943,"arXiv:2604.06943v1 Announce Type: new 
Abstract: Learning robot skills from scratch is often time-consuming, while reusing data promotes sustainability and improves sample efficiency. This study inves"
cs.RO,cs.RO_9,Learning-Based Strategy for Composite Robot Assembly Skill Adaptation,https://arxiv.org/abs/2604.06949,"arXiv:2604.06949v1 Announce Type: new 
Abstract: Contact-rich robotic skills remain challenging for industrial robots due to tight geometric tolerances, frictional variability, and uncertain contact d"
cs.RO,cs.RO_10,Differentiable Environment-Trajectory Co-Optimization for Safe Multi-Agent Navigation,https://arxiv.org/abs/2604.06972,"arXiv:2604.06972v1 Announce Type: new 
Abstract: The environment plays a critical role in multi-agent navigation by imposing spatial constraints, rules, and limitations that agents must navigate aroun"
cs.RO,cs.RO_11,KITE: Keyframe-Indexed Tokenized Evidence for VLM-Based Robot Failure Analysis,https://arxiv.org/abs/2604.07034,"arXiv:2604.07034v1 Announce Type: new 
Abstract: We present KITE, a training-free, keyframe-anchored, layout-grounded front-end that converts long robot-execution videos into compact, interpretable to"
