category,paper_id,title,link,summary
cs.LG,cs.LG_0,A Benchmark of Classical and Deep Learning Models for Agricultural Commodity Price Forecasting on A Novel Bangladeshi Market Price Dataset,https://arxiv.org/abs/2604.06227,"arXiv:2604.06227v1 Announce Type: new 
Abstract: Accurate short-term forecasting of agricultural commodity prices is critical for food security planning and smallholder income stabilisation in develop"
cs.LG,cs.LG_1,"Probabilistic Language Tries: A Unified Framework for Compression, Decision Policies, and Execution Reuse",https://arxiv.org/abs/2604.06228,"arXiv:2604.06228v1 Announce Type: new 
Abstract: We introduce probabilistic language tries (PLTs), a unified representation that makes explicit the prefix structure implicitly defined by any generativ"
cs.LG,cs.LG_2,FLeX: Fourier-based Low-rank EXpansion for multilingual transfer,https://arxiv.org/abs/2604.06253,"arXiv:2604.06253v1 Announce Type: new 
Abstract: Cross-lingual code generation is critical in enterprise environments where multiple programming languages coexist. However, fine-tuning large language "
cs.LG,cs.LG_3,Spectral Edge Dynamics Reveal Functional Modes of Learning,https://arxiv.org/abs/2604.06256,"arXiv:2604.06256v1 Announce Type: new 
Abstract: Training dynamics during grokking concentrate along a small number of dominant update directions -- the spectral edge -- which reliably distinguishes g"
cs.LG,cs.LG_4,$S^3$: Stratified Scaling Search for Test-Time in Diffusion Language Models,https://arxiv.org/abs/2604.06260,"arXiv:2604.06260v1 Announce Type: new 
Abstract: Test-time scaling investigates whether a fixed diffusion language model (DLM) can generate better outputs when given more inference compute, without ad"
cs.LG,cs.LG_5,SMT-AD: a scalable quantum-inspired anomaly detection approach,https://arxiv.org/abs/2604.06265,"arXiv:2604.06265v1 Announce Type: new 
Abstract: Quantum-inspired tensor networks algorithms have shown to be effective and efficient models for machine learning tasks, including anomaly detection. He"
cs.LG,cs.LG_6,MO-RiskVAE: A Multi-Omics Variational Autoencoder for Survival Risk Modeling in Multiple MyelomaMO-RiskVAE,https://arxiv.org/abs/2604.06267,"arXiv:2604.06267v1 Announce Type: new 
Abstract: Multimodal variational autoencoders (VAEs) have emerged as a powerful framework for survival risk modeling in multiple myeloma by integrating heterogen"
cs.LG,cs.LG_7,RAGEN-2: Reasoning Collapse in Agentic RL,https://arxiv.org/abs/2604.06268,"arXiv:2604.06268v1 Announce Type: new 
Abstract: RL training of multi-turn LLM agents is inherently unstable, and reasoning quality directly determines task performance. Entropy is widely used to trac"
cs.LG,cs.LG_8,Asymptotic-Preserving Neural Networks for Viscoelastic Parameter Identification in Multiscale Blood Flow Modeling,https://arxiv.org/abs/2604.06287,"arXiv:2604.06287v1 Announce Type: new 
Abstract: Mathematical models and numerical simulations offer a non-invasive way to explore cardiovascular phenomena, providing access to quantities that cannot "
cs.LG,cs.LG_9,TalkLoRA: Communication-Aware Mixture of Low-Rank Adaptation for Large Language Models,https://arxiv.org/abs/2604.06291,"arXiv:2604.06291v1 Announce Type: new 
Abstract: Low-Rank Adaptation (LoRA) enables parameter-efficient fine-tuning of Large Language Models (LLMs), and recent Mixture-of-Experts (MoE) extensions furt"
cs.LG,cs.LG_10,AgentOpt v0.1 Technical Report: Client-Side Optimization for LLM-Based Agent,https://arxiv.org/abs/2604.06296,"arXiv:2604.06296v1 Announce Type: new 
Abstract: AI agents are increasingly deployed in real-world applications, including systems such as Manus, OpenClaw, and coding agents. Existing research has pri"
cs.LG,cs.LG_11,Limits of Difficulty Scaling: Hard Samples Yield Diminishing Returns in GRPO-Tuned SLMs,https://arxiv.org/abs/2604.06298,"arXiv:2604.06298v1 Announce Type: new 
Abstract: Recent alignment work on Large Language Models (LLMs) suggests preference optimization can improve reasoning by shifting probability mass toward better"
cs.LG,cs.LG_12,Drifting Fields are not Conservative,https://arxiv.org/abs/2604.06333,"arXiv:2604.06333v1 Announce Type: new 
Abstract: Drifting models generate high-quality samples in a single forward pass by transporting generated samples toward the data distribution using a vector va"
cs.LG,cs.LG_13,BiScale-GTR: Fragment-Aware Graph Transformers for Multi-Scale Molecular Representation Learning,https://arxiv.org/abs/2604.06336,"arXiv:2604.06336v1 Announce Type: new 
Abstract: Graph Transformers have recently attracted attention for molecular property prediction by combining the inductive biases of graph neural networks (GNNs"
cs.LG,cs.LG_14,Bi-Level Optimization for Single Domain Generalization,https://arxiv.org/abs/2604.06349,"arXiv:2604.06349v1 Announce Type: new 
Abstract: Generalizing from a single labeled source domain to unseen target domains, without access to any target data during training, remains a fundamental cha"
cs.LG,cs.LG_15,Stochastic Gradient Descent in the Saddle-to-Saddle Regime of Deep Linear Networks,https://arxiv.org/abs/2604.06366,"arXiv:2604.06366v1 Announce Type: new 
Abstract: Deep linear networks (DLNs) are used as an analytically tractable model of the training dynamics of deep neural networks. While gradient descent in DLN"
cs.LG,cs.LG_16,The Master Key Hypothesis: Unlocking Cross-Model Capability Transfer via Linear Subspace Alignment,https://arxiv.org/abs/2604.06377,"arXiv:2604.06377v1 Announce Type: new 
Abstract: We investigate whether post-trained capabilities can be transferred across models without retraining, with a focus on transfer across different model s"
cs.LG,cs.LG_17,Toward a universal foundation model for graph-structured data,https://arxiv.org/abs/2604.06391,"arXiv:2604.06391v1 Announce Type: new 
Abstract: Graphs are a central representation in biomedical research, capturing molecular interaction networks, gene regulatory circuits, cell--cell communicatio"
cs.LG,cs.LG_18,Bridging Theory and Practice in Crafting Robust Spiking Reservoirs,https://arxiv.org/abs/2604.06395,"arXiv:2604.06395v1 Announce Type: new 
Abstract: Spiking reservoir computing provides an energy-efficient approach to temporal processing, but reliably tuning reservoirs to operate at the edge-of-chao"
