category,paper_id,title,link,summary
cs.CV,cs.CV_0,CraterBench-R: Instance-Level Crater Retrieval for Planetary Scale,https://arxiv.org/abs/2604.06245,"arXiv:2604.06245v1 Announce Type: new 
Abstract: Impact craters are a cornerstone of planetary surface analysis. However, while most deep learning pipelines treat craters solely as a detection problem"
cs.CV,cs.CV_1,No-reference based automatic parameter optimization for iterative reconstruction using a novel search space aware crow search algorithm,https://arxiv.org/abs/2604.06246,"arXiv:2604.06246v1 Announce Type: new 
Abstract: Iterative reconstruction technique's ability to reduce radiation exposure by using fewer projections has attracted significant attention. However, thes"
cs.CV,cs.CV_2,DISSECT: Diagnosing Where Vision Ends and Language Priors Begin in Scientific VLMs,https://arxiv.org/abs/2604.06250,"arXiv:2604.06250v1 Announce Type: new 
Abstract: When asked to describe a molecular diagram, a Vision-Language Model correctly identifies ``a benzene ring with an -OH group.'' When asked to reason abo"
cs.CV,cs.CV_3,Telescope: Learnable Hyperbolic Foveation for Ultra-Long-Range Object Detection,https://arxiv.org/abs/2604.06332,"arXiv:2604.06332v1 Announce Type: new 
Abstract: Autonomous highway driving, especially for long-haul heavy trucks, requires detecting objects at long ranges beyond 500 meters to satisfy braking dista"
cs.CV,cs.CV_4,Evolution of Video Generative Foundations,https://arxiv.org/abs/2604.06339,"arXiv:2604.06339v1 Announce Type: new 
Abstract: The rapid advancement of Artificial Intelligence Generated Content (AIGC) has revolutionized video generation, enabling systems ranging from proprietar"
cs.CV,cs.CV_5,Evidence-Based Actor-Verifier Reasoning for Echocardiographic Agents,https://arxiv.org/abs/2604.06347,"arXiv:2604.06347v1 Announce Type: new 
Abstract: Echocardiography plays an important role in the screening and diagnosis of cardiovascular diseases. However, automated intelligent analysis of echocard"
cs.CV,cs.CV_6,DietDelta: A Vision-Language Approach for Dietary Assessment via Before-and-After Images,https://arxiv.org/abs/2604.06352,"arXiv:2604.06352v1 Announce Type: new 
Abstract: Accurate dietary assessment is critical for precision nutrition, yet most image-based methods rely on a single pre-consumption image and provide only c"
cs.CV,cs.CV_7,MTA-Agent: An Open Recipe for Multimodal Deep Search Agents,https://arxiv.org/abs/2604.06376,"arXiv:2604.06376v1 Announce Type: new 
Abstract: Multimodal large language models (MLLMs) have demonstrated strong capabilities in visual understanding, yet they remain limited in complex, multi-step "
cs.CV,cs.CV_8,MorphDistill: Distilling Unified Morphological Knowledge from Pathology Foundation Models for Colorectal Cancer Survival Prediction,https://arxiv.org/abs/2604.06390,"arXiv:2604.06390v1 Announce Type: new 
Abstract: Background: Colorectal cancer (CRC) remains a leading cause of cancer-related mortality worldwide. Accurate survival prediction is essential for treatm"
cs.CV,cs.CV_9,Continual Visual Anomaly Detection on the Edge: Benchmark and Efficient Solutions,https://arxiv.org/abs/2604.06435,"arXiv:2604.06435v1 Announce Type: new 
Abstract: Visual Anomaly Detection (VAD) is a critical task for many applications including industrial inspection and healthcare. While VAD has been extensively "
